 Full     Lambda       e     Intensity   preLambda   ID    
          0.1nm      0.1nm                 0.1nm           

  222  3877.064522  0.000120      1275               ?     
  223  3877.551796  0.000142       734               ?     
  224  3878.521878  0.001186      1683               ?     
  225  3878.561866  0.000282      9302  3878.561991  ThI   
  226  3878.654883  0.000139      2369  3878.655502  ThI   
  227  3878.708611  0.000107      7194  3878.708052  ThI   
  228  3879.259225  0.000127       909               ?     
  229  3879.422844  0.000129       855               ?     
  230  3879.608432  0.001748       840               ?     
  231  3879.672672  0.000112      8623               ?     
  232  3879.761672  0.000104     13236  3879.761309  ThI   
  233  3879.816337  0.000781      1057  3879.812849  NoID  
  234  3880.368188  0.000129     11481  3880.368322  ThI   
  235  3880.547224  0.000104      5818  3880.544922  ThI   
  236  3880.743712  0.000125     60651  3880.743691  ThI   
  237  3880.992456  0.000144       677               ?     
  238  3881.084110  0.000129       885               ?     
  239  3881.293898  0.000129      8958  3881.294595  ThI   
  240  3881.432284  0.000130     16202  3881.432530  ArII  
  241  3882.599007  0.000114      1560  3882.598107  ThII  
  242  3883.244354  0.000139      2253  3883.243225  ThII  
  243  3883.424255  0.000141      1923  3883.425138  ThI   
  244  3884.868572  0.000142      1916  3884.869001  ThI   
  245  3885.624816  0.000142      2070  3885.625359  ThII  
  246  3885.729431  0.000114      1784  3885.730354  NoID  
  247  3885.920902  0.000136      8494  3885.923478  NoID  
  248  3886.168109  0.000138      4813  3886.168528  ThII  
  249  3886.325906  0.000138      4362  3886.326489  ThI   
  250  3886.505768  0.000142      2486  3886.504915  NoID  
  251  3886.869574  0.000139      5034  3886.869341  ThII  
  252  3887.106167  0.000116      1822  3887.106139  NoID  
  253  3887.731871  0.000152      1495  3887.731686  NoID  
  254  3888.017808  0.000132    116315  3888.017416  ThI   
  255  3888.121990  0.000137     21460  3888.120983  ThI   
  256  3890.644568  0.000147      3139  3890.644428  ThI   
  257  3890.711447  0.000152      1846  3890.711153  ThI   
  258  3891.008506  0.000147      3106  3891.008206  ThI   
  259  3892.307444  0.000149      3184  3892.307087  ThI   
  260  3892.504430  0.000145     18085  3892.503896  ArII  
  261  3892.622803  0.000152      2427  3892.622825  ThI   
  262  3892.828887  0.000146      7677  3892.828743  ThI   
  263  3893.082045  0.000146     50971  3893.081469  ArII  
  264  3893.314146  0.000135      1200  3893.314826  NoID  
  265  3893.410089  0.000121      2325  3893.410945  ThII  
  266  3893.722650  0.000154       712               ?     
  267  3893.811803  0.000155      2353  3893.812190  NoID  
  268  3894.447469  0.000116      3338  3894.446268  NoID  
  269  3894.755139  0.000152      8892  3894.755178  ThI   
  270  3894.917854  0.000135      1090               ?     
  271  3895.512098  0.000137       919  3895.513372  ThII  
  272  3895.763534  0.000111     16986  3895.763290  ArI   
  273  3896.354498  0.000117      2802  3896.353050  ArII  
  274  3896.522947  0.000109    129930  3896.522909  ThI   
  275  3896.759819  0.000112      4407               ?     
  276  3897.270816  0.000128      1051               ?     
  277  3897.378590  0.000149       599               ?     
  278  3898.420853  0.000133       787               ?     
  279  3898.716444  0.000132       837               ?     
  280  3898.882349  0.000116      1779  3898.881905  ThI   
  281  3899.458006  0.000122      1352               ?     
  282  3899.541818  0.000107     46500  3899.541935  ThI   
  283  3899.613128  0.000108      8747  3899.614669  ThI   
  284  3899.900264  0.000110      3858  3899.901250  NoID  
  285  3900.813817  0.000108      6832               ?     
  286  3900.982303  0.000108      6682               ?     
  287  3901.682294  0.000164     19256  3901.681801  ThI   
  288  3901.731712  0.000227     11077  3901.731444  ArII  
  289  3901.983250  0.000137     17311  3901.983592  ThII  
  290  3902.257740  0.000116      1550  3902.257396  ThII  
  291  3902.767225  0.000134     18965  3902.767436  ThI   
  292  3903.276404  0.000139      4957  3903.276298  NoID  
  293  3903.894739  0.000117      1371  3903.894274  NoID  
  294  3904.050901  0.000115      1572               ?     
  295  3904.207971  0.000127     53876  3904.208099  ThI   
  296  3904.413935  0.000131      1162               ?     
  297  3904.587315  0.000131      9824  3904.587058  ThI   
  298  3905.021700  0.000109      2432  3905.022115  NoID  
  299  3905.109634  0.000135      3783  3905.109723  NoID  
  300  3905.188219  0.000130      9696  3905.188780  ThII  
  301  3906.292246  0.000130      6488  3906.292771  ThII  
  302  3906.401737  0.000233       613               ?     
  303  3906.463379  0.000135       814  3906.462643  ThII  
  304  3906.912786  0.000190       441               ?     
  305  3907.414797  0.000123       985               ?     
  306  3907.585420  0.000119      1282               ?     
  307  3908.266892  0.000130      4654  3908.267063  ThI   
  308  3908.650147  0.000133      4923  3908.650079  ThI   
  309  3909.855555  0.000128      6974  3909.856277  ThI   
  310  3910.087432  0.000129      5748  3910.086956  ThI   
  311  3910.245904  0.000127     12448  3910.246318  ThI   
  312  3911.628686  0.000132      2777  3911.628627  ThI   
  313  3911.881270  0.000128      5738  3911.881138  ThI   
  314  3912.084663  0.000710      3535  3912.085395  NoID  
  315  3912.122218  0.003204      1398               ?     
  316  3912.629396  0.000929      1051               ?     
  317  3912.684102  0.000180      8416  3912.683690  ArII  
  318  3913.017161  0.000135     95548  3913.017135  ThI   
  319  3913.061024  0.000221     24469  3913.059717  ThI   
  320  3913.318558  0.000135      1868  3913.318416  ThI   
  321  3913.390215  0.000129      4107  3913.389122  ThII  
  322  3913.598799  0.000134      1196               ?     
  323  3914.113541  0.000129      3977  3914.113592  ThII  
  324  3914.190760  0.000126      7271  3914.190164  ThI   
  325  3914.753870  0.000127      4938  3914.753441  ThI   
  326  3914.932115  0.000400      5491  3914.932372  ThII  
  327  3914.973289  0.000619      3164  3914.973540  NoID  
  328  3915.273444  0.000127      4955  3915.270891  NoID  
  329  3915.399404  0.000142      1220               ?     
  330  3915.876980  0.000124     26200  3915.875666  ArII  
  331  3916.403416  0.000127      3464  3916.404242  ThI   
  332  3916.957559  0.000124      5517  3916.957907  ThI   
  333  3917.526591  0.000114    234600  3917.526800  ThI   
  334  3917.707548  0.000127      3104  3917.707258  ThI   
  335  3917.833573  0.000127      3277  3917.833565  ThII  
  336  3917.905871  0.000130      2467  3917.905739  ThII  
  337  3918.378388  0.000120     15959  3918.378698  ThI   
  338  3918.877161  0.000120      2458  3918.876436  ArII  
  339  3919.117226  0.000150      1200  3919.118410  ThII  
  340  3919.179706  0.000120     14663  3919.179711  NoID  
  341  3919.611132  0.000112     17304               ?     
  342  3920.043654  0.000120     19575  3920.043331  ThI   
  343  3920.133144  0.000117     74920  3920.133274  ThI   
  344  3920.385140  0.000292      6202  3920.385348  ThI   
  345  3920.436683  0.001357      1155               ?     
  346  3920.570061  0.000114      4817  3920.570204  NoID  
  347  3921.089720  0.000113      5138  3921.089855  NoID  
  348  3921.167120  0.000113      4461  3921.167715  ThI   
  349  3921.333729  0.007918       841               ?     
  350  3921.368569  0.000574      3975               ?     
  351  3921.422870  0.000608      2345  3921.422781  ThII  
  352  3921.551844  0.000112      7403  3921.552357  NoID  
  353  3922.063847  0.000139       707               ?     
  354  3922.321878  0.000162       457               ?     
  355  3922.505044  0.000125      1540  3922.504537  NoID  
  356  3922.563817  0.000112      4634  3922.563790  NoID  
  357  3922.649113  0.000127       982               ?     
  358  3922.830774  0.002367       313               ?     
  359  3922.890679  0.000171      2246  3922.890457  ThI   
  360  3923.327818  0.000117      1794  3923.329787  ThII  
  361  3923.857567  0.000141       632               ?     
  362  3924.022693  0.000110      7452               ?     
  363  3924.910479  0.000108     76716  3924.910650  ThI   
  364  3925.515604  0.000108     10200  3925.514663  NoID  
  365  3926.205097  0.000106    229581  3926.204890  ThI   
  366  3926.330131  0.000107     28853  3926.330574  ThI   
  367  3926.708180  0.000107     12872  3926.707255  ThI   
  368  3926.830742  0.000106    216491  3926.830118  ArII  
  369  3927.157411  0.000127     18702  3927.157018  ArII  
  370  3927.817459  0.000123      1050  3927.818372  ThII  
  371  3927.975727  0.000107      4400  3927.974877  ThI   
  372  3928.288310  0.000109      2764  3928.288157  ThII  
  373  3928.451411  0.000113      2049               ?     
  374  3928.533330  0.000107      4077  3928.533733  ThII  
  375  3928.918288  0.000126      5249  3928.918401  ThI   
  376  3929.031757  0.000126      7130               ?     
  377  3929.173875  0.000129       823               ?     
  378  3929.417905  0.000118      1256  3929.418558  NoID  
  379  3929.735911  0.000122    204080  3929.735141  ArII  
  380  3929.976286  0.000122     13675  3929.977037  ThI   
  381  3930.402680  0.000120     24606  3930.402925  ThI   
  382  3930.508869  0.000124      6178  3930.507866  NoID  
  383  3930.781812  0.000115    173922  3930.781949  ThII  
  384  3931.084112  0.000111      1937  3931.084550  NoID  
  385  3931.771075  0.000120      1050  3931.770554  NoID  
  386  3932.198057  0.000113      1536  3932.198161  ThI   
  387  3932.542194  0.000145       676               ?     
  388  3932.620489  0.000149       540               ?     
  389  3933.111068  0.000168      2077  3933.107377  NoID  
  390  3933.339774  0.000127      3809  3933.339710  ThII  
  391  3933.660215  0.000124    105302  3933.659664  ArII  
  392  3934.024787  0.000118    141439  3934.024768  ThI   
  393  3934.147960  0.000103      5339  3934.148878  ThI   
  394  3934.202519  0.000155       596  3934.203190  NoID  
  395  3934.297910  0.000480      1990               ?     
  396  3934.351280  0.000143      9434  3934.351087  ThI   
  397  3934.468265  0.000162       550  3934.467153  ThII  
  398  3934.774849  0.000126     24698  3934.774827  Contam
  399  3935.083700  0.000135      1623  3935.084625  NoID  

  400  3935.174234  0.000137      1419  3935.173882  ThI   
  401  3935.389394  0.000123     11352  3935.388090  NoID  
  402  3935.911453  0.000156      1703  3935.912203  NoID  
  403  3937.054620  0.000138      1374  3937.053073  ThII  
  404  3937.140326  0.000159       696               ?     
  405  3937.410221  0.000388       788               ?     
  406  3937.468052  0.000128      6092  3937.467581  NoID  
  407  3938.154423  0.000122      6099  3938.155118  ThII  
  408  3938.402868  0.000158      1053               ?     
  409  3938.480678  0.000219       678               ?     
  410  3938.974800  0.000178      1172               ?     
  411  3939.038998  0.000128      4275  3939.038510  ThII  
  412  3939.210149  0.000430      1493               ?     
  413  3939.266365  0.000167      3384  3939.267199  ThI   
  414  3939.537359  0.000136      1540  3939.537647  ThII  
  415  3939.728657  0.000124     15778  3939.729343  ThI   
  416  3939.799232  0.000246     11856  3939.798772  NoID  
  417  3939.842512  0.001136      1132  3939.841504  NoID  
  418  3939.896379  0.000180      3045  3939.895895  ThII  
  419  3940.269573  0.000120      5326  3940.274393  NoID  
  420  3940.433837  0.000128      3483  3940.433988  ThI   
  421  3940.653299  0.000138      1357               ?     
  422  3941.312040  0.000173       593               ?     
  423  3941.820828  0.000129      2746  3941.822546  ThI   
  424  3941.957028  0.000109      3320  3941.954235  ThI   
  425  3942.250925  0.000139      1031  3942.252980  ThI   
  426  3942.347957  0.000134      1141               ?     
  427  3942.841971  0.000155       921               ?     
  428  3943.474535  0.000125      5057  3943.473991  NoID  
  429  3943.672000  0.000123      8592  3943.671779  NoID  
  430  3943.969126  0.000174       745  3943.969773  ThII  
  431  3944.023875  0.000125      5650  3944.024215  ThI   
  432  3944.105649  0.000167       606               ?     
  433  3944.288450  0.000142       763               ?     
  434  3944.375749  0.000119      2366  3944.375362  ThII  
  435  3944.510363  0.000124      8892  3944.510426  ThII  
  436  3944.575833  0.000124      9340  3944.576087  ThI   
  437  3944.720956  0.000123     11490  3944.721746  ThI   
  438  3944.806641  0.000127      4537  3944.806601  ThII  
  439  3945.122849  0.000116      3706  3945.123319  Contam
  440  3946.253144  0.000113      6359  3946.251907  NoID  
  441  3946.322802  0.000122      2516  3946.324089  ThI   
  442  3946.624094  0.000112     10683  3946.623948  ThII  
  443  3946.937116  0.000112      8014  3946.936953  ThII  
  444  3947.214113  0.000111    333084  3947.213753  ArII  
  445  3947.265269  0.000212     20099  3947.262411  ThII  
  446  3947.508896  0.000110     54854  3947.509119  ThI   
  447  3947.599393  0.000111     10746  3947.600156  ThI   
  448  3948.252874  0.000111      7610  3948.253604  NoID  
  449  3948.447816  0.000110     42687  3948.448067  ThI   
  450  3948.621868  0.000109     92509  3948.621610  ArI   
  451  3948.769495  0.000132       908  3948.768114  NoID  
  452  3948.915323  0.000115      2385  3948.914972  NoID  
  453  3949.147860  0.000109    323650  3949.147912  ThI   
  454  3949.251817  0.000109     30187  3949.251939  ThI   
  455  3950.587276  0.000121      1225               ?     
  456  3951.513412  0.000107    591464  3951.513116  ThI   
  457  3951.923063  0.000107     12853  3951.923116  ThI   
  458  3952.225649  0.000118      1536  3952.226685  ThII  
  459  3952.279358  0.000247       233               ?     
  460  3953.977784  0.000109      3443  3953.979084  NoID  
  461  3954.456766  0.000108      3324  3954.456743  NoID  
  462  3954.563395  0.000111      1930  3954.563630  NoID  
  463  3954.796507  0.000113      1587  3954.797519  NoID  
  464  3955.188955  0.000119      3184  3955.187019  ThI   
  465  3955.248854  0.000166      2474  3955.249891  ThI   
  466  3955.846991  0.000111      1768  3955.845924  NoID  
  467  3956.046905  0.000129       788               ?     
  468  3956.288931  0.000130     24868  3956.289161  ThI   
  469  3956.375218  0.000136       688  3956.373231  ThII  
  470  3957.010288  0.000129     28610  3957.009733  ThI   
  471  3957.124202  0.000132      7398  3957.124399  ThI   
  472  3957.223984  0.000118      1170  3957.224226  NoID  
  473  3957.299132  0.000119      1114               ?     
  474  3957.601412  0.000132      6588  3957.602270  NoID  
  475  3957.712496  0.000131      9848  3957.713212  ThII  
  476  3957.809861  0.000128     34718  3957.810469  ThII  
  477  3958.177025  0.000217      1193  3958.175166  ThII  
  478  3958.274800  0.000120      1156  3958.277021  ThII  
  479  3958.722388  0.007921       685               ?     
  480  3958.751433  0.001903       986  3958.748996  NoID  
  481  3958.918118  0.000134       722               ?     
  482  3959.357615  0.000138      1908  3959.357277  NoID  
  483  3959.499705  0.000134      4604  3959.499954  ArII  
  484  3960.047561  0.000135      2822  3960.049139  ThI   
  485  3960.341723  0.000122      1170  3960.342069  ThII  
  486  3960.420280  0.000127     60642  3960.420351  ThI   
  487  3960.721325  0.000136      2190  3960.721164  NoID  
  488  3961.389115  0.000132      7023  3961.389839  ThI   
  489  3961.610301  0.000152      1766               ?     
  490  3962.835554  0.000136       857               ?     
  491  3963.219737  0.000142      1554               ?     
  492  3963.540591  0.000131     21014  3963.540736  ThI   
  493  3964.341753  0.000139      1801  3964.341258  ThII  
  494  3965.151541  0.000132     11975  3965.151851  ThI   
  495  3965.450844  0.000137      2752               ?     
  496  3965.572478  0.000171       677               ?     
  497  3965.850115  0.000119      6420  3965.847533  NoID  
  498  3965.988525  0.000142      1721  3965.986950  ThII  
  499  3966.604863  0.000149      1161               ?     
  500  3967.174990  0.000180       540               ?     
  501  3967.455980  0.000142      1981               ?     
  502  3968.086570  0.000136      4906  3968.087057  NoID  
  503  3968.514563  0.000124    353187  3968.514615  ThI   
  504  3968.847976  0.000146      1007               ?     
  505  3968.917473  0.000124      2029  3968.918715  NoID  
  506  3969.482162  0.000138     64744  3969.481593  ArII  
  507  3970.125193  0.000139     19865  3970.125552  ThII  
  508  3970.788258  0.000143     10606  3970.787157  ThI   
  509  3971.353908  0.000147       671               ?     
  510  3971.814668  0.000124      1698               ?     
  511  3972.260132  0.000135      2088               ?     
  512  3972.310777  0.001510       378               ?     
  513  3973.048580  0.000126      1101               ?     
  514  3973.278032  0.000111    154752  3973.278257  NoID  
  515  3973.763121  0.000111     35548  3973.763386  ThI   
  516  3974.066405  0.000126      1052               ?     
  517  3974.320835  0.000110     79929  3974.320074  ThI   
  518  3974.456634  0.000110     16539  3974.456597  ThI   
  519  3974.636200  0.000129       881               ?     
  520  3974.815526  0.000115      2945               ?     
  521  3975.348991  0.000120      1240  3975.349020  ThII  
  522  3975.600867  0.000109     87505  3975.600626  ArII  
  523  3975.882876  0.000109     19401  3975.882946  ArII  
  524  3975.953125  0.000132      1495  3975.951347  NoID  
  525  3976.210042  0.000193       270               ?     
