# units Angstroms
38419.0 Ar 10 NIRSPEC
39646.0 Ar 10 UKIRT
39942.0 Ar 10 UKIRT
40112.0 Ar 50 NIRSPEC
40431.0 Kr 10 UKIRT
40524.0 Ar 50 NIRSPEC
40645.0 Ar 5 UKIRT
40859.0 Kr 10 UKIRT
40879.0 Ar 50 NIRSPEC
41244.0 Ar 20 UKIRT
46279.0 Ar 30 UKIRT
46694.0 Kr 100 IRTF
47703.0 Ar 30 UKIRT
47946.0 Ar 30 UKIRT
