FILENAME:	2br015_8.txt
TITLE:	AFC Filter 14 ZnSe Test Piece Sample 2BR @ 15K, 2.6°i, In f/8 (CDCR 04848/04849, SMCR 01987)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 14 (QH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	30-Nov-2001
AUTHOR:	Richard Sherwood
CHANNEL:	14
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.438	-0.10450
2.439	0.00935
2.440	0.14051
2.441	0.13907
2.442	-0.06672
2.443	0.03122
2.444	0.05211
2.445	0.01353
2.446	0.00281
2.447	-0.11569
2.448	-0.00094
2.449	-0.00553
2.450	-0.07266
2.451	0.04515
2.452	0.06164
2.453	0.06416
2.454	-0.00646
2.455	-0.03179
2.456	-0.00104
2.457	0.02436
2.458	0.06948
2.459	0.07975
2.460	0.02527
2.461	0.03452
2.462	-0.00501
2.463	0.01324
2.464	-0.07352
2.465	-0.04219
2.466	0.04276
2.467	-0.02220
2.468	-0.07437
2.469	0.05356
2.470	0.02251
2.471	0.10446
2.472	0.13953
2.473	-0.02523
2.474	-0.13674
2.475	-0.07546
2.476	-0.01815
2.477	0.06534
2.478	-0.00803
2.479	0.02092
2.480	-0.00438
2.481	-0.03392
2.482	0.01253
2.483	-0.00416
2.484	0.03945
2.485	0.01725
2.486	-0.06763
2.487	0.03360
2.488	0.04649
2.489	-0.08665
2.490	-0.01233
2.491	-0.03136
2.492	-0.02056
2.493	-0.03301
2.494	-0.03909
2.495	-0.08644
2.496	-0.01842
2.497	0.03825
2.498	-0.05694
2.499	-0.04784
2.500	-0.10490
2.501	-0.04366
2.502	0.09306
2.503	0.16504
2.504	-0.03112
2.505	0.17190
2.506	0.29901
2.507	0.03184
2.508	-0.10624
2.509	0.22798
2.510	0.39518
2.511	0.09361
2.512	0.54027
2.513	0.04171
2.514	-0.23754
2.515	-0.25650
2.516	-0.17852
2.517	0.11053
2.518	0.29088
2.519	0.22209
2.520	0.17716
2.521	-0.36088
2.522	-0.16421
2.523	-0.12994
2.524	-0.02947
2.525	-0.09394
2.526	-0.06543
2.527	-0.06798
2.528	0.01877
2.529	0.14760
2.530	0.10331
2.531	-0.02071
2.532	-0.09637
2.533	-0.06161
2.534	-0.00308
2.535	-0.07298
2.536	-0.06061
2.537	0.05783
2.538	0.15730
2.539	0.06090
2.540	0.03385
2.541	-0.11950
2.542	-0.11406
2.543	-0.14973
2.544	-0.10916
2.545	-0.09750
2.546	0.03986
2.547	-0.02453
2.548	0.09724
2.549	0.19941
2.550	-0.02581
2.551	-0.00451
2.552	0.19532
2.553	0.06982
2.554	-0.07076
2.555	-0.04852
2.556	0.00826
2.557	0.06089
2.558	0.08375
2.559	0.14597
2.560	0.18240
2.561	0.24576
2.562	0.03384
2.563	0.02026
2.564	0.07902
2.565	-0.16308
2.566	0.09001
2.567	0.08577
2.568	-0.03885
2.569	-0.07666
2.570	-0.02071
2.571	0.06802
2.572	-0.03266
2.573	0.05093
2.574	0.21427
2.575	0.12792
2.576	0.02265
2.577	0.13559
2.578	0.11411
2.579	0.09567
2.580	-0.05493
2.581	-0.14928
2.582	-0.01835
2.583	-0.03949
2.584	0.29252
2.585	-0.03174
2.586	-0.18542
2.587	0.02541
2.588	0.55816
2.589	0.18995
2.590	-0.09554
2.591	-0.01322
2.592	0.21514
2.593	0.33415
2.594	0.10050
2.595	-0.32900
2.596	-0.55762
2.597	-0.15585
2.598	0.09351
2.599	0.21629
2.600	0.15999
2.601	-0.02626
2.602	-0.10787
2.603	-0.05980
2.604	0.20858
2.605	0.14422
2.606	0.07569
2.607	-0.00952
2.608	-0.04328
2.609	-0.05882
2.610	-0.03565
2.611	0.07448
2.612	0.12779
2.613	0.03232
2.614	0.00404
2.615	0.01079
2.616	0.03710
2.617	0.30156
2.618	0.16747
2.619	0.01616
2.620	0.16163
2.621	0.31991
2.622	0.13212
2.623	0.02704
2.624	0.03425
2.625	0.04389
2.626	-0.02373
2.627	0.01061
2.628	0.06137
2.629	0.02426
2.630	-0.07855
2.631	-0.03091
2.632	0.08626
2.633	-0.06313
2.634	-0.17166
2.635	-0.01643
2.636	0.10598
2.637	0.09108
2.638	0.03560
2.639	0.05412
2.640	0.06127
2.641	0.04021
2.642	-0.01532
2.643	0.01762
2.644	0.05287
2.645	-0.01081
2.646	-0.10054
2.647	-0.08177
2.648	-0.04087
2.649	-0.01772
2.650	-0.00823
2.651	0.02705
2.652	-0.01027
2.653	0.01134
2.654	0.04018
2.655	0.10467
2.656	0.07889
2.657	0.00227
2.658	-0.06457
2.659	-0.02986
2.660	0.04994
2.661	0.07341
2.662	-0.00694
2.663	0.02263
2.664	0.09433
2.665	0.08762
2.666	-0.15143
2.667	-0.05299
2.668	-0.04665
2.669	-0.12356
2.670	0.27814
2.671	0.20958
2.672	-0.15010
2.673	-0.09553
2.674	-0.02383
2.675	-0.00743
2.676	0.14465
2.677	0.24281
2.678	0.20669
2.679	-0.10455
2.680	-0.30705
2.681	-0.12280
2.682	-0.03969
2.683	0.03216
2.684	0.05828
2.685	0.01096
2.686	-0.14620
2.687	-0.11181
2.688	0.04450
2.689	0.04942
2.690	0.01360
2.691	-0.00593
2.692	-0.00223
2.693	0.07380
2.694	0.07141
2.695	0.03758
2.696	0.00195
2.697	0.00431
2.698	0.01168
2.699	0.00302
2.700	-0.04349
2.701	0.01695
2.702	0.00505
2.703	-0.00112
2.704	0.10696
2.705	0.17711
2.706	0.06383
2.707	-0.00129
2.708	-0.01174
2.709	-0.08079
2.710	0.03409
2.711	0.05555
2.712	-0.00144
2.713	0.04021
2.714	0.08877
2.715	0.05151
2.716	0.02939
2.717	0.04789
2.718	-0.00833
2.719	0.04632
2.720	0.11199
2.721	0.04667
2.722	0.05526
2.723	0.06210
2.724	0.10826
2.725	0.01481
2.726	-0.06421
2.727	-0.09732
2.728	-0.09487
2.729	0.00699
2.730	0.00385
2.731	-0.05612
2.732	-0.07724
2.733	-0.06974
2.734	-0.05330
2.735	-0.03083
2.736	-0.05088
2.737	-0.07584
2.738	-0.13492
2.739	-0.05513
2.740	0.09221
2.741	-0.17193
2.742	-0.16460
2.743	0.07895
2.744	0.04271
2.745	0.00066
2.746	-0.03541
2.747	-0.08424
2.748	-0.00579
2.749	0.00916
2.750	0.02652
2.751	0.05846
2.752	0.03235
2.753	0.01323
2.754	0.00554
2.755	-0.04040
2.756	0.04134
2.757	0.03864
2.758	-0.01382
2.759	-0.01734
2.760	0.00285
2.761	0.02745
2.762	-0.04993
2.763	-0.11091
2.764	0.03662
2.765	0.07449
2.766	-0.05712
2.767	-0.11619
2.768	-0.05688
2.769	-0.01631
2.770	-0.00899
2.771	-0.04457
2.772	-0.10891
2.773	-0.07521
2.774	0.03280
2.775	0.07035
2.776	0.12185
2.777	0.08586
2.778	0.03303
2.779	-0.07889
2.780	-0.12200
2.781	0.01074
2.782	0.08635
2.783	0.09402
2.784	0.02996
2.785	0.02467
2.786	0.01241
2.787	0.02348
2.788	0.09110
2.789	0.15478
2.790	0.12363
2.791	0.07980
2.792	0.04463
2.793	-0.00191
2.794	0.00625
2.795	0.00029
2.796	0.04549
2.797	0.07930
2.798	0.03939
2.799	0.00014
2.800	-0.04898
2.801	-0.04907
2.802	-0.00587
2.803	0.02714
2.804	0.04276
2.805	-0.00514
2.806	0.00438
2.807	0.06594
2.808	0.05003
2.809	0.00280
2.810	-0.00029
2.811	-0.01802
2.812	-0.02163
2.813	-0.00822
2.814	-0.01144
2.815	-0.00368
2.816	0.00254
2.817	0.04291
2.818	0.02836
2.819	-0.01911
2.820	0.02095
2.821	0.05614
2.822	0.03237
2.823	0.00543
2.824	0.00530
2.825	-0.01359
2.826	-0.05626
2.827	-0.06389
2.828	0.03601
2.829	0.07001
