FILENAME:	2b601514.txt
TITLE:	AFC Filter 04 ZnS Test Piece Sample 2B6 @ 15K, 2.6°i, In f/8 (CDCR 04794/04804, SMCR 01938)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 04 (PAH1 +ArIII ref1) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	07-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	04
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.665	-0.21697
1.666	0.34357
1.667	0.22035
1.668	0.49938
1.669	0.56600
1.670	0.12210
1.671	0.06906
1.672	0.23374
1.673	0.01424
1.674	-0.13586
1.675	-0.38065
1.676	0.60627
1.677	0.10464
1.678	-0.00614
1.679	0.93065
1.680	-0.46000
1.681	0.41835
1.682	-0.11811
1.683	0.28625
1.684	-0.01845
1.685	0.28157
1.686	0.42556
1.687	0.22387
1.688	-0.14498
1.689	0.06346
1.690	-0.25116
1.691	0.17417
1.692	-0.35016
1.693	0.09140
1.694	-0.02337
1.695	0.15216
1.696	-0.14366
1.697	0.01500
1.698	0.34032
1.699	0.06654
1.700	0.04136
1.701	0.22131
1.702	-0.28601
1.703	-0.11142
1.704	0.01929
1.705	0.12056
1.706	-0.29661
1.707	0.10551
1.708	-0.16795
1.709	0.00964
1.710	-0.08515
1.711	0.22951
1.712	0.23105
1.713	-0.03786
1.714	-0.10499
1.715	0.30964
1.716	-0.43835
1.717	0.18995
1.718	0.04949
1.719	0.04066
1.720	0.20653
1.721	-0.07053
1.722	-0.18312
1.723	-0.11794
1.724	0.04534
1.725	-0.08458
1.726	0.21468
1.727	0.04545
1.728	0.14067
1.729	-0.15136
1.730	0.16963
1.731	-0.21519
1.732	0.52480
1.733	0.12019
1.734	-0.00545
1.735	0.01620
1.736	0.25395
1.737	-0.47729
1.738	0.21554
1.739	-0.10324
1.740	0.11727
1.741	0.36761
1.742	-0.27780
1.743	-0.05230
1.744	-0.13279
1.745	-0.12654
1.746	0.06286
1.747	-0.12735
1.748	-0.25507
1.749	0.12211
1.750	0.15026
