FILENAME:	36b03015.txt
TITLE:	CanariCam Q-Wide CdTe Sample 36B @ 30K, 3°I, T% (CDCR 05096/05102, SMCR 02266)
FORMAL_COMMENT:	CanariCam Q-Wide Filter
CREATION_DATE:	03-Jul-2003
RUN_DATE:	02-Jul-2003
AUTHOR:	Richard Sherwood
CHANNEL:	Q-WIDE
CHANNEL_VERSION:	n/a
MODEL:	Window
TEMPERATURE:	30K
ANGLE:	3°
FNUMBER:	f/8
DATA:
2.156	0.03285
2.157	0.20269
2.158	0.32954
2.159	0.24523
2.160	-0.10528
2.161	-0.35716
2.162	-0.39263
2.163	-0.33705
2.164	-0.09576
2.165	0.32658
2.166	0.41763
2.167	0.11601
2.168	0.00555
2.169	0.14664
2.170	0.15316
2.171	-0.02210
2.172	-0.09891
2.173	-0.11880
2.174	-0.11989
2.175	-0.06414
2.176	-0.04705
2.177	-0.00177
2.178	0.00208
2.179	0.05733
2.180	0.15667
2.181	0.21352
2.182	0.40547
2.183	0.35475
2.184	0.02533
2.185	-0.00056
2.186	0.12101
2.187	0.11019
2.188	0.04463
2.189	0.00016
2.190	-0.02991
2.191	-0.13142
2.192	-0.12211
2.193	0.15442
2.194	0.28206
2.195	0.14966
2.196	0.11740
2.197	0.13473
2.198	0.12354
2.199	0.09134
2.200	-0.01786
2.201	-0.04209
2.202	-0.00653
2.203	-0.02008
2.204	0.03923
2.205	0.12092
2.206	0.14168
2.207	0.16490
2.208	0.23598
2.209	0.24359
2.210	0.13008
2.211	-0.01461
2.212	-0.13801
2.213	-0.18436
2.214	-0.14899
2.215	-0.06270
2.216	0.01168
2.217	0.03012
2.218	0.06616
2.219	0.11658
2.220	0.09526
2.221	0.03350
2.222	0.00579
2.223	-0.00244
2.224	-0.03879
2.225	-0.08379
2.226	-0.08223
2.227	-0.06604
2.228	-0.07776
2.229	-0.09689
2.230	-0.07608
2.231	-0.01471
2.232	0.02100
2.233	-0.00851
2.234	-0.05760
2.235	-0.06559
2.236	-0.06103
2.237	-0.05188
2.238	-0.01656
2.239	0.00722
2.240	0.03246
2.241	0.06109
2.242	0.07129
2.243	0.06693
2.244	0.03036
2.245	-0.00004
2.246	-0.00347
2.247	0.01913
2.248	0.07300
2.249	0.09259
2.250	0.05403
2.251	0.01406
2.252	0.00846
2.253	0.01103
2.254	0.01438
2.255	0.02205
2.256	0.00450
2.257	0.00585
2.258	0.04878
2.259	0.05738
2.260	0.01256
2.261	-0.03535
2.262	-0.05533
2.263	-0.06123
2.264	-0.06171
2.265	-0.02080
2.266	0.04466
2.267	0.08100
2.268	0.07569
2.269	0.03383
2.270	0.00019
2.271	-0.00185
2.272	-0.00017
2.273	-0.01122
2.274	-0.02554
2.275	-0.03386
2.276	-0.03723
2.277	-0.01456
2.278	0.02578
2.279	0.04345
2.280	0.04379
2.281	0.03247
2.282	0.01499
2.283	0.01388
2.284	0.01009
2.285	-0.01470
2.286	-0.02719
2.287	-0.00466
2.288	0.02982
2.289	0.04568
2.290	0.02458
2.291	-0.01338
2.292	-0.01473
2.293	0.02140
2.294	0.03852
2.295	0.02738
2.296	0.01747
2.297	0.00469
2.298	-0.01013
2.299	-0.00938
2.300	0.00790
2.301	0.02528
