FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.873	0.20779
1.874	0.06783
1.875	-0.12244
1.876	0.15455
1.877	0.40808
1.878	0.29444
1.879	0.38866
1.880	-0.34928
1.881	-0.22411
1.882	-0.06943
1.883	-0.05450
1.884	0.11698
1.885	0.03690
1.886	0.09685
1.887	-0.14796
1.888	-0.10111
1.889	0.08370
1.890	0.01022
1.891	0.37011
1.892	0.06599
1.893	-0.04831
1.894	0.06614
1.895	0.47192
1.896	0.19662
1.897	0.16008
1.898	-0.01341
1.899	-0.12720
1.900	-0.03156
1.901	0.46321
1.902	0.30631
1.903	0.01013
1.904	0.52454
1.905	0.03257
1.906	0.02494
1.907	-0.23832
1.908	-0.03042
1.909	-0.00102
1.910	0.42412
1.911	0.23498
1.912	0.05588
1.913	-0.05530
1.914	0.09859
1.915	0.08997
1.916	-0.00550
1.917	0.03916
1.918	-0.30232
1.919	-0.07170
1.920	-0.25889
1.921	-0.25319
1.922	0.16294
1.923	-0.07246
1.924	0.13488
1.925	0.07281
1.926	-0.16501
1.927	0.07656
1.928	-0.00175
1.929	-0.00650
1.930	0.26596
1.931	-0.30560
1.932	0.05816
1.933	-0.06402
1.934	-0.21887
1.935	0.34791
1.936	0.13035
1.937	0.13263
1.938	0.00645
1.939	0.19258
1.940	0.02596
1.941	-0.06518
1.942	-0.25448
1.943	0.06129
1.944	0.02615
1.945	0.06115
1.946	-0.16138
1.947	-0.07047
1.948	0.10936
1.949	0.04477
1.950	0.00325
1.951	0.00967
1.952	-0.05057
1.953	0.07088
1.954	-0.06780
1.955	-0.04306
1.956	0.13202
1.957	-0.04429
1.958	-0.05510
1.959	0.06999
1.960	0.14409
1.961	-0.07193
1.962	0.09031
1.963	0.15833
1.964	0.04276
1.965	0.10164
1.966	-0.10415
1.967	0.36438
1.968	0.07783
1.969	-0.05106
1.970	0.06920
1.971	0.10630
1.972	0.00900
1.973	0.22831
1.974	-0.01753
1.975	-0.04894
1.976	-0.02460
1.977	0.03841
1.978	0.06811
1.979	-0.02354
1.980	0.02142
1.981	0.10176
1.982	0.01939
1.983	0.16597
1.984	0.09450
1.985	-0.18240
1.986	-0.24846
1.987	0.14726
1.988	-0.11125
1.989	0.16747
1.990	0.46987
1.991	0.19109
1.992	-0.01508
1.993	-0.02515
1.994	0.09659
1.995	0.35764
1.996	0.00344
1.997	-0.05355
1.998	0.31585
1.999	0.14743
2.000	0.27859
2.001	0.01620
2.002	-0.01354
2.003	-0.15424
2.004	0.02511
2.005	0.04938
2.006	-0.05051
2.007	-0.10436
2.008	0.15410
2.009	-0.10128
2.010	0.14667
2.011	0.02555
2.012	-0.04918
2.013	-0.21933
2.014	0.00727
2.015	-0.00376
2.016	0.16055
2.017	0.06575
2.018	-0.10356
2.019	0.11145
2.020	0.10926
2.021	0.05747
2.022	-0.22410
2.023	0.13026
2.024	0.10092
2.025	-0.08545
2.026	-0.18445
2.027	-0.24127
2.028	-0.12087
2.029	-0.06838
2.030	0.07802
2.031	-0.01430
2.032	0.28141
2.033	0.01679
2.034	-0.02444
2.035	-0.29529
2.036	-0.14764
2.037	0.08039
2.038	0.08290
2.039	0.43365
2.040	0.24180
2.041	-0.27514
2.042	-0.20709
2.043	-0.20262
2.044	0.07068
2.045	-0.07107
2.046	-0.02813
2.047	-0.09526
2.048	-0.03647
2.049	0.16903
2.050	0.02461
2.051	0.16526
2.052	0.14008
2.053	-0.08796
2.054	-0.04896
2.055	-0.12316
2.056	0.57959
2.057	0.09347
2.058	0.07785
2.059	0.09755
2.060	0.13805
2.061	0.04869
2.062	0.28497
2.063	0.18486
2.064	0.17648
2.065	0.07794
2.066	0.15052
2.067	0.17408
2.068	0.16151
2.069	0.30889
2.070	0.01880
2.071	-0.16960
2.072	0.00273
2.073	0.09821
2.074	0.18101
2.075	0.02795
2.076	0.02071
2.077	0.06631
2.078	-0.05173
2.079	-0.09899
2.080	-0.16273
2.081	-0.13877
2.082	-0.18409
2.083	0.07000
2.084	0.04701
2.085	0.10649
2.086	0.02907
2.087	0.11000
2.088	-0.18760
2.089	-0.03364
2.090	-0.13303
2.091	-0.01609
2.092	-0.20748
2.093	0.04204
2.094	-0.09544
2.095	-0.15231
2.096	0.18689
2.097	0.41802
2.098	-0.06589
2.099	-0.16119
2.100	-0.10147
2.101	-0.39754
2.102	-0.29517
2.103	-0.05043
2.104	-0.08038
2.105	0.15028
2.106	0.55736
2.107	0.52210
2.108	-0.04091
2.109	0.06643
2.110	0.11822
2.111	-0.03732
2.112	0.39288
2.113	-0.12458
2.114	0.47292
2.115	0.29987
2.116	0.48142
2.117	-0.21142
2.118	-0.02515
2.119	-0.06099
2.120	-0.33282
2.121	0.18354
2.122	0.71725
2.123	0.44662
2.124	0.01693
2.125	0.28176
2.126	-0.10492
2.127	-0.39266
2.128	-0.15385
2.129	0.11749
2.130	-0.23237
2.131	-0.52321
2.132	0.30544
2.133	-0.06875
2.134	0.75584
2.135	0.69998
2.136	0.14754
2.137	0.23958
2.138	0.61528
2.139	0.31877
2.140	0.63475
2.141	0.38372
2.142	-0.39474
2.143	-0.16473
2.144	0.51483
2.145	0.30423
2.146	0.11314
2.147	0.45286
2.148	1.26692
2.149	0.68794
2.150	-0.83629
2.151	-0.38627
2.152	-0.15126
2.153	-0.43047
2.154	0.80457
2.155	-0.38113
2.156	-0.09767
2.157	0.05013
2.158	-0.40036
2.159	-0.65799
2.160	-0.16231
2.161	0.25277
2.162	0.25527
2.163	0.86597
2.164	0.56386
2.165	0.66873
2.166	-0.23323
2.167	1.13381
2.168	0.96611
2.169	0.23613
2.170	-0.48220
2.171	-0.87532
2.172	-0.53809
2.173	-0.83462
2.174	0.24589
2.175	0.83844
2.176	0.44492
2.177	0.15991
2.178	-0.35467
2.179	-0.75928
2.180	-0.13902
2.181	0.53651
2.182	0.91158
2.183	0.23132
2.184	-0.17423
2.185	0.11188
2.186	-0.56833
2.187	0.02235
2.188	-0.06882
2.189	0.13104
2.190	-0.02733
2.191	0.25904
2.192	0.73431
2.193	0.42975
2.194	-0.18277
2.195	-0.45040
2.196	0.06514
2.197	0.73095
2.198	0.01801
2.199	-0.11433
2.200	-0.66964
2.201	0.00267
2.202	-0.11241
2.203	-0.18465
2.204	-0.44220
2.205	-0.66745
