FILENAME:	2bs01519.txt
TITLE:	AFC Filter 15 ZnSe Test Piece Sample 2B9 @ 15, 2.6°i, In f/8 (CDCR 04799/04807, SMCR 01945)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 15 (Q1 sub Q-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	15
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.727	0.05160
1.728	-0.03722
1.729	0.17506
1.730	0.44247
1.731	-0.21544
1.732	-0.34216
1.733	0.35749
1.734	0.38462
1.735	0.04601
1.736	-0.06417
1.737	0.21796
1.738	-0.02479
1.739	0.15759
1.740	0.00530
1.741	-0.10656
1.742	0.12247
1.743	0.38594
1.744	0.29099
1.745	-0.29128
1.746	0.66481
1.747	-0.35361
1.748	-0.29026
1.749	-0.26965
1.750	0.16770
1.751	0.03734
1.752	-0.12189
1.753	-0.03680
1.754	0.44150
1.755	0.23139
1.756	0.09720
1.757	0.14840
1.758	-0.40995
1.759	-0.10441
1.760	-0.11621
1.761	0.32560
1.762	0.02698
1.763	-0.27790
1.764	0.26248
1.765	0.13171
1.766	0.03010
1.767	-0.11970
1.768	0.64936
1.769	-0.07907
1.770	0.20852
1.771	0.00971
1.772	0.15718
1.773	0.12779
1.774	-0.16271
1.775	0.09098
1.776	0.16664
1.777	-0.52057
1.778	0.48964
1.779	-0.15994
1.780	-0.19688
1.781	0.14716
1.782	-0.19269
1.783	0.02160
1.784	0.02247
1.785	0.00053
1.786	0.19196
1.787	0.31021
1.788	0.19369
1.789	0.30391
1.790	0.14512
1.791	0.10647
1.792	-0.11892
1.793	0.01010
1.794	0.05508
1.795	0.14396
1.796	0.02524
1.797	0.24814
1.798	0.29422
1.799	0.30867
1.800	-0.03839
1.801	0.32586
1.802	0.23716
1.803	-0.04837
1.804	0.01721
1.805	-0.00289
1.806	-0.07429
1.807	-0.10678
1.808	0.15498
1.809	-0.00335
1.810	0.02861
1.811	0.07242
1.812	0.13757
1.813	-0.09460
1.814	0.14801
1.815	0.06905
1.816	0.48761
1.817	0.06070
1.818	0.39314
1.819	-0.03968
1.820	0.25704
1.821	0.08747
1.822	-0.03638
1.823	0.06732
1.824	0.09980
1.825	-0.00593
1.826	-0.35085
1.827	-0.20865
1.828	0.34809
1.829	0.01336
1.830	0.29213
1.831	0.29245
1.832	0.07391
1.833	0.01830
1.834	0.17727
1.835	-0.18324
1.836	-0.29570
1.837	0.02914
1.838	-0.02183
1.839	-0.12446
1.840	-0.22725
1.841	0.18757
1.842	0.50039
1.843	0.25581
1.844	-0.00213
1.845	0.01221
