FILENAME:	2b901513.txt
TITLE:	AFC Filter 10 ZnS Test Piece Sample 2B9 @ 15K, 2.6°i, In f/8 (CDCR 04802/04806, SMCR 01941)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 10 (PAH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	13-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	10
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.823	0.18346
1.824	0.02059
1.825	0.09812
1.826	-0.03486
1.827	-0.09476
1.828	-0.01336
1.829	0.05510
1.830	0.01508
1.831	0.06574
1.832	0.11231
1.833	-0.00550
1.834	0.04074
1.835	0.11442
1.836	0.19200
1.837	-0.22517
1.838	0.09835
1.839	-0.06755
1.840	-0.08732
1.841	0.17031
1.842	0.05497
1.843	0.21487
1.844	-0.02661
1.845	0.01045
1.846	0.01054
1.847	-0.03157
1.848	-0.01446
1.849	-0.15330
1.850	0.11104
1.851	-0.00266
1.852	0.08223
1.853	0.02983
1.854	0.05990
1.855	-0.15701
1.856	0.05305
1.857	0.01420
1.858	0.08405
1.859	-0.13926
1.860	0.02283
1.861	0.00154
1.862	0.07223
1.863	0.25961
1.864	0.11483
1.865	0.00253
1.866	-0.00088
1.867	0.04192
1.868	0.13196
1.869	-0.01412
1.870	0.14581
1.871	0.40064
1.872	-0.02417
1.873	0.07214
1.874	-0.00002
1.875	0.00744
1.876	-0.03562
1.877	0.16378
1.878	0.03208
1.879	0.10173
1.880	-0.16150
1.881	0.23894
1.882	0.04905
1.883	-0.12505
1.884	0.10105
1.885	0.09680
1.886	0.12783
1.887	-0.06108
1.888	-0.13485
1.889	-0.07650
1.890	-0.14785
1.891	-0.11885
1.892	0.14421
1.893	0.18269
1.894	0.07202
1.895	-0.23653
1.896	0.01799
1.897	-0.22731
1.898	0.17224
1.899	-0.03049
1.900	-0.02777
1.901	0.22953
1.902	0.02634
1.903	0.26505
1.904	0.09527
1.905	0.06458
1.906	0.08953
1.907	-0.03340
1.908	0.07142
1.909	0.06942
1.910	0.10064
1.911	-0.14030
1.912	-0.22580
1.913	0.14758
1.914	0.24777
1.915	-0.04185
1.916	-0.08686
1.917	-0.00980
1.918	0.15417
1.919	-0.02950
1.920	-0.02179
1.921	-0.09878
1.922	0.25432
1.923	0.24235
1.924	-0.03633
1.925	-0.01646
1.926	0.06404
1.927	-0.02583
1.928	-0.07796
1.929	0.02448
1.930	0.20433
1.931	-0.01543
1.932	0.05436
1.933	0.08031
1.934	0.04925
1.935	-0.02300
1.936	-0.12087
1.937	-0.03829
1.938	-0.04521
1.939	0.24940
1.940	0.02895
1.941	0.10216
1.942	0.25081
1.943	0.08827
1.944	-0.10347
1.945	0.12037
1.946	0.03351
1.947	-0.06578
1.948	0.06930
1.949	-0.09061
1.950	-0.20274
1.951	-0.05765
1.952	0.04442
1.953	0.17938
1.954	-0.15161
1.955	-0.15392
1.956	0.07301
1.957	0.11750
1.958	0.21101
1.959	-0.06312
1.960	0.00860
1.961	0.05624
1.962	-0.13471
1.963	-0.31025
1.964	0.22467
1.965	0.03170
1.966	0.06513
1.967	0.11667
1.968	-0.04787
1.969	0.03470
1.970	-0.01181
1.971	0.13271
1.972	0.02135
1.973	0.23431
1.974	-0.12758
1.975	-0.01866
1.976	0.24739
1.977	0.13214
1.978	0.42006
1.979	0.02115
1.980	0.11625
1.981	-0.09956
1.982	0.02099
1.983	-0.14978
1.984	0.09117
1.985	0.02789
1.986	-0.04127
1.987	-0.02649
1.988	0.21677
1.989	0.01177
1.990	-0.00009
1.991	0.09321
1.992	0.25188
1.993	-0.14655
1.994	-0.00753
1.995	0.09981
1.996	-0.16027
1.997	0.13596
1.998	-0.01292
1.999	-0.03900
2.000	-0.21925
2.001	0.02485
2.002	-0.03728
2.003	-0.01824
2.004	0.16618
2.005	0.31489
2.006	0.21844
2.007	0.19458
2.008	-0.02224
2.009	0.17302
2.010	0.64698
2.011	0.69350
2.012	0.52245
2.013	0.17220
2.014	0.07872
2.015	0.00889
2.016	0.17329
2.017	0.04948
2.018	0.05608
2.019	-0.06818
2.020	0.10427
2.021	-0.04582
2.022	0.12671
2.023	0.11476
2.024	0.06790
2.025	0.12437
2.026	0.20366
2.027	0.24085
2.028	-0.08740
2.029	0.01093
2.030	0.07206
2.031	-0.13833
2.032	-0.05625
2.033	0.03671
2.034	-0.00661
2.035	-0.13766
2.036	0.07313
2.037	0.00313
2.038	0.05189
2.039	-0.04434
2.040	0.00098
2.041	-0.05547
2.042	0.03494
2.043	-0.07670
2.044	-0.03070
2.045	-0.12173
2.046	-0.11519
2.047	0.05690
2.048	0.01596
2.049	-0.15087
2.050	-0.07787
2.051	-0.09842
2.052	-0.09399
2.053	0.13109
2.054	0.27492
2.055	0.07463
2.056	0.15025
2.057	0.21077
2.058	0.18338
2.059	0.01856
2.060	0.11528
2.061	0.03901
2.062	0.04549
2.063	-0.02472
2.064	0.00485
2.065	0.03498
2.066	0.21957
2.067	0.14605
2.068	0.15163
2.069	0.00446
2.070	0.09218
2.071	0.06668
2.072	-0.10440
2.073	-0.11682
2.074	0.06257
2.075	0.05272
2.076	-0.20083
2.077	-0.04475
2.078	0.18565
2.079	0.02001
2.080	-0.12286
2.081	-0.10392
2.082	-0.43895
2.083	-0.07027
2.084	0.20022
2.085	0.03901
2.086	-0.02479
2.087	0.28063
2.088	0.13073
2.089	-0.09859
2.090	0.19752
2.091	-0.07789
2.092	-0.11045
2.093	-0.31882
2.094	0.07989
2.095	0.06340
2.096	0.01118
2.097	0.14002
2.098	0.23998
2.099	0.02515
2.100	-0.02645
2.101	-0.27869
2.102	0.22028
2.103	0.18126
2.104	0.12618
2.105	-0.02479
2.106	-0.05407
2.107	-0.02801
2.108	0.43152
2.109	0.45627
2.110	0.15459
2.111	0.47726
2.112	0.13767
2.113	0.11712
2.114	-0.07794
2.115	-0.11176
2.116	-0.07992
2.117	0.03979
2.118	0.13830
2.119	0.15351
2.120	0.11722
2.121	0.66400
2.122	0.43236
2.123	-0.01158
2.124	-0.67444
2.125	-0.19731
2.126	0.10851
2.127	-0.13931
2.128	-0.23677
2.129	0.03052
2.130	0.06014
2.131	-0.31080
2.132	-0.16266
2.133	0.24326
2.134	0.61584
2.135	-0.00316
2.136	0.33512
2.137	0.24096
2.138	-0.08212
2.139	0.40275
2.140	0.48757
2.141	-0.40890
2.142	-0.23252
2.143	0.08337
2.144	0.13884
2.145	-0.06429
2.146	0.31188
2.147	-0.04057
2.148	-0.25485
2.149	-0.45585
2.150	0.08703
2.151	0.37518
2.152	0.03135
2.153	-0.11548
2.154	0.15304
2.155	0.33224
2.156	0.38198
2.157	0.65212
2.158	0.01883
2.159	-0.15678
2.160	-0.30224
2.161	-0.32177
2.162	0.40033
2.163	0.62286
2.164	0.33511
2.165	0.01935
2.166	-0.26499
2.167	-0.53110
2.168	-0.36904
2.169	-0.30085
2.170	-0.71386
2.171	0.46418
2.172	0.61172
2.173	-0.28299
2.174	-0.04563
2.175	0.31467
2.176	-0.03462
2.177	0.93683
2.178	-0.06076
2.179	-0.48415
2.180	-0.61183
2.181	0.02616
2.182	-0.04263
2.183	0.60092
2.184	0.35801
2.185	0.22704
2.186	0.39864
2.187	0.07358
2.188	-0.55957
2.189	-0.22101
2.190	-0.43694
2.191	-0.45792
2.192	-0.01338
2.193	0.11858
2.194	0.04724
2.195	0.44853
2.196	0.21127
2.197	0.21657
2.198	0.28338
2.199	0.39532
2.200	-0.21033
2.201	-0.23786
2.202	-0.48928
2.203	0.08216
2.204	-0.63255
2.205	-0.47782
2.206	0.12216
2.207	0.15080
2.208	0.11396
2.209	-0.10472
2.210	-0.24919
2.211	-0.20461
2.212	0.17247
2.213	-0.01728
2.214	-0.05079
2.215	0.16570
2.216	0.16906
2.217	0.30547
2.218	-0.01979
2.219	0.03874
2.220	0.38563
2.221	0.18489
2.222	-0.27305
2.223	0.01044
2.224	-0.17225
2.225	0.18419
2.226	0.08063
2.227	0.94343
2.228	0.80546
2.229	-0.31025
2.230	-0.77351
2.231	-0.25972
2.232	0.72206
2.233	-0.11250
2.234	1.81610
2.235	1.41846
2.236	0.63446
2.237	0.20093
2.238	-0.42659
2.239	0.11062
2.240	0.17787
2.241	-0.00398
2.242	0.24198
2.243	0.11206
2.244	0.20686
2.245	-0.05358
2.246	-0.28420
2.247	-0.21681
2.248	0.14604
2.249	0.10674
2.250	0.09719
2.251	-0.02757
2.252	0.03835
2.253	-0.02339
2.254	-0.14801
2.255	0.02188
2.256	-0.01855
2.257	-0.20353
2.258	-0.29577
2.259	-0.24065
2.260	0.15391
