FILENAME:	2jb01518.txt
TITLE:	AFC Filter 08 ZnS Test Piece Sample 2JB @ 15K, 2.6°i, In f/8 (CDCR 04856/04858, SMCR 01996)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 08 (SIV) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Dec-2001
AUTHOR:	Richard Sherwood
CHANNEL:	08
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.896	-0.27045
1.897	-0.04830
1.898	-0.07370
1.899	-0.06622
1.900	-0.05019
1.901	0.02782
1.902	0.06331
1.903	0.01294
1.904	-0.12731
1.905	0.18338
1.906	0.00697
1.907	0.06140
1.908	0.28705
1.909	-0.11606
1.910	-0.21094
1.911	0.10931
1.912	-0.03335
1.913	-0.10575
1.914	-0.19392
1.915	0.01971
1.916	0.05208
1.917	0.17018
1.918	-0.01644
1.919	-0.16332
1.920	-0.04041
1.921	0.25697
1.922	0.07279
1.923	-0.12404
1.924	-0.04913
1.925	0.33567
1.926	0.27573
1.927	0.01812
1.928	0.02852
1.929	0.09604
1.930	-0.11986
1.931	0.02559
1.932	0.18161
1.933	-0.01002
1.934	0.32608
1.935	0.10463
1.936	-0.12530
1.937	-0.10022
1.938	0.39319
1.939	-0.12132
1.940	-0.09632
1.941	0.06154
1.942	-0.02113
1.943	0.03277
1.944	0.02451
1.945	-0.04788
1.946	0.20374
1.947	0.21484
1.948	0.12396
1.949	-0.10080
1.950	0.23360
1.951	0.10650
1.952	0.19820
1.953	-0.25023
1.954	0.00132
1.955	0.02373
1.956	-0.01633
1.957	-0.15486
1.958	0.23493
1.959	0.04015
1.960	0.00976
1.961	-0.09703
1.962	0.04565
1.963	-0.03789
1.964	-0.00045
1.965	-0.09663
1.966	-0.09030
1.967	-0.16442
1.968	0.02688
1.969	0.10952
1.970	-0.01419
1.971	0.20215
1.972	0.21907
1.973	0.16763
1.974	0.29323
1.975	0.06138
1.976	0.16729
1.977	0.04959
1.978	0.07154
1.979	0.10822
1.980	-0.04169
1.981	0.07763
1.982	0.24342
1.983	0.04038
1.984	0.05916
1.985	0.02580
1.986	0.10785
1.987	0.08346
1.988	0.05349
1.989	0.03510
1.990	0.07399
1.991	0.16532
1.992	0.14470
1.993	0.67477
1.994	0.31619
1.995	-0.26034
1.996	-0.11623
1.997	-0.19299
1.998	-0.18110
1.999	-0.16171
2.000	-0.00107
2.001	-0.14548
2.002	-0.06569
2.003	-0.07184
2.004	0.07091
2.005	0.07126
2.006	-0.02842
2.007	-0.26470
2.008	-0.05218
2.009	-0.04274
2.010	0.12926
2.011	-0.00999
2.012	-0.12215
2.013	0.05822
2.014	0.04414
2.015	0.11603
2.016	0.01561
2.017	-0.04607
2.018	0.04450
2.019	-0.08042
2.020	0.04896
2.021	0.00833
2.022	-0.17802
2.023	-0.26329
2.024	-0.03969
2.025	0.15125
2.026	0.05156
2.027	-0.05783
2.028	-0.08449
2.029	0.11876
2.030	-0.11530
2.031	0.02717
2.032	-0.09843
2.033	-0.05808
2.034	0.13475
2.035	0.10172
2.036	0.17638
2.037	-0.02296
2.038	-0.11353
2.039	0.04024
2.040	0.03156
2.041	0.12296
2.042	0.08963
2.043	0.21219
2.044	0.01942
2.045	0.01084
2.046	0.21169
2.047	-0.11165
2.048	0.09104
2.049	0.04075
2.050	-0.07148
2.051	0.09067
2.052	0.03719
2.053	0.12557
2.054	0.06768
2.055	0.18982
2.056	0.34444
2.057	0.12464
2.058	0.03685
2.059	0.15469
2.060	-0.01337
2.061	-0.02714
2.062	0.05764
2.063	-0.02223
2.064	0.11301
2.065	-0.00361
2.066	0.07609
2.067	0.01665
2.068	0.06791
2.069	0.04325
2.070	0.11309
2.071	0.08763
2.072	-0.07821
2.073	0.14903
2.074	-0.21302
2.075	0.01879
2.076	-0.01341
2.077	0.10068
2.078	0.21382
2.079	0.09371
2.080	0.04545
2.081	-0.05704
2.082	0.17804
2.083	0.23150
2.084	-0.05297
2.085	0.18277
2.086	0.33380
2.087	-0.18072
2.088	0.00377
2.089	0.13143
2.090	0.03647
2.091	0.05626
2.092	-0.13063
2.093	0.03918
2.094	0.28786
2.095	-0.02281
2.096	-0.02285
2.097	0.23103
2.098	0.05099
2.099	-0.02202
2.100	0.00873
2.101	-0.15793
2.102	0.17666
2.103	0.17152
2.104	0.50334
2.105	0.18809
2.106	0.06870
2.107	0.08097
2.108	-0.04815
2.109	0.01628
2.110	-0.13173
2.111	0.07778
2.112	0.32158
2.113	0.18592
2.114	0.13362
2.115	-0.06392
2.116	-0.04850
2.117	0.13098
2.118	-0.12427
2.119	-0.05859
2.120	-0.29271
2.121	0.24987
2.122	-0.81787
2.123	0.18119
2.124	-0.34805
2.125	0.04274
2.126	-0.18384
2.127	-0.11643
2.128	0.07231
2.129	0.03222
2.130	0.01643
2.131	-0.04038
2.132	0.24874
2.133	0.66107
2.134	0.53900
2.135	0.11612
2.136	0.07062
2.137	0.43723
2.138	-0.17099
2.139	0.14883
2.140	0.09108
2.141	-0.09903
2.142	0.33995
2.143	0.26632
2.144	0.22295
2.145	-0.25153
2.146	0.18268
2.147	0.48547
2.148	0.49778
2.149	0.30351
2.150	-0.07194
2.151	0.09004
2.152	-0.28572
2.153	-0.79333
2.154	-0.46300
2.155	-0.29382
2.156	-0.10924
2.157	-0.23045
2.158	0.16285
2.159	0.45356
2.160	0.26721
2.161	-0.12909
2.162	-0.14314
2.163	0.30313
2.164	-0.00898
2.165	1.00063
2.166	0.30555
2.167	0.43608
2.168	0.29126
2.169	0.16992
2.170	0.39826
2.171	0.54621
2.172	-0.03870
2.173	-0.33014
2.174	0.07863
2.175	-0.08063
2.176	-0.70134
2.177	-0.43414
2.178	-0.00803
2.179	-0.14791
2.180	-0.09395
2.181	0.09656
2.182	-0.37016
2.183	0.08182
2.184	0.37278
2.185	0.15360
2.186	0.40117
2.187	0.82244
2.188	0.10210
2.189	0.25643
2.190	0.18597
2.191	0.27728
2.192	0.10817
2.193	-0.20055
2.194	0.09037
2.195	-0.43708
2.196	0.47767
2.197	0.51371
2.198	0.26206
2.199	0.06866
2.200	-0.16395
2.201	-0.08818
2.202	-0.07457
2.203	-0.00589
2.204	-0.08278
2.205	-0.02646
2.206	-0.12220
2.207	0.14083
2.208	0.20079
2.209	0.29971
2.210	-0.48915
2.211	-0.60140
2.212	0.10145
2.213	0.26424
2.214	-0.11199
2.215	-0.27352
2.216	0.06842
2.217	-0.08778
2.218	-0.04169
2.219	0.05780
2.220	0.21788
2.221	0.17717
2.222	0.15104
2.223	0.19486
2.224	0.12351
2.225	-0.04552
2.226	-0.02599
2.227	0.22517
2.228	0.28361
2.229	-0.03174
2.230	0.06857
2.231	0.14034
2.232	-0.13742
2.233	0.07281
2.234	0.26120
2.235	0.05149
2.236	0.10464
2.237	0.07455
2.238	0.13928
2.239	0.02542
2.240	-0.07921
2.241	-0.10938
2.242	0.03738
2.243	0.12939
2.244	0.04549
2.245	0.19409
2.246	0.26771
2.247	-0.07694
2.248	-0.18817
2.249	-0.19053
2.250	-0.11197
2.251	-0.15736
2.252	0.16206
2.253	0.05316
2.254	-0.04759
2.255	-0.00005
2.256	0.02894
2.257	0.04149
2.258	0.09666
2.259	0.06417
2.260	0.23772
2.261	0.09736
2.262	0.27182
2.263	0.07864
2.264	0.07215
2.265	0.06074
2.266	-0.05014
2.267	-0.13471
2.268	0.53052
2.269	0.06868
2.270	-0.16056
2.271	0.10702
2.272	-0.01816
2.273	0.02223
2.274	0.06190
2.275	-0.11400
2.276	0.07559
2.277	0.11640
2.278	-0.03803
2.279	0.01916
2.280	0.03503
2.281	-0.14995
2.282	-0.00868
2.283	0.03062
2.284	-0.11056
2.285	-0.12348
2.286	-0.02750
2.287	0.03537
2.288	0.11849
2.289	0.05176
2.290	0.06745
2.291	0.09287
2.292	0.14733
2.293	0.04380
2.294	0.14172
2.295	0.04789
2.296	-0.03285
2.297	-0.02616
2.298	-0.05657
2.299	-0.00013
2.300	-0.02491
2.301	-0.03407
2.302	0.00547
2.303	0.06075
2.304	-0.00885
2.305	-0.12490
2.306	-0.02346
2.307	0.02863
2.308	0.08767
2.309	0.03489
2.310	-0.02442
2.311	0.01917
2.312	0.13252
2.313	0.08460
2.314	0.07007
2.315	0.07107
2.316	0.02436
2.317	0.00344
2.318	0.06215
2.319	0.03527
2.320	0.10073
2.321	0.01358
2.322	-0.12546
2.323	-0.14449
2.324	-0.00763
2.325	-0.00176
2.326	0.02447
2.327	0.03059
2.328	0.02515
2.329	0.04420
2.330	0.04410
2.331	-0.00400
2.332	-0.03616
2.333	-0.02023
2.334	-0.04333
2.335	-0.03894
2.336	-0.05812
2.337	-0.02574
