The University of Reading, Infrared Multilayer Laboratory
http://www.cyber.rdg.ac.uk/irfilters/
---------------------------------------------------------
FILENAME:	2ng015_8.txt
TITLE: 	AFC Filter 22 CdTe S29 Sample 2F8 @ 15K, 2.6°I, In f/8 (CDCR 04928/04959, SMCR 02117)
CREATION_DATE:	13-Aug-2003
AUTHOR:	Richard Sherwood
TEMPERATURE:	15K
ANGLE:	0°
DATA:
2.110	0.02556
2.111	0.12998
2.112	-0.00542
2.113	0.01830
2.114	0.05480
2.115	-0.01490
2.116	0.10247
2.117	-0.07846
2.118	-0.00013
2.119	0.05288
2.120	-0.05205
2.121	-0.12627
2.122	-0.36127
2.123	0.46088
2.124	0.32398
2.125	0.21697
2.126	0.09388
2.127	0.08165
2.128	0.12008
2.129	0.25786
2.130	-0.01360
2.131	-0.09560
2.132	0.14934
2.133	-0.04636
2.134	-0.02278
2.135	-0.07795
2.136	0.07090
2.137	-0.06540
2.138	0.02259
2.139	0.11458
2.140	0.17065
2.141	0.05773
2.142	0.09974
2.143	0.06468
2.144	-0.04665
2.145	-0.04597
2.146	0.12089
2.147	-0.06152
2.148	-0.11304
2.149	0.32185
2.150	0.06913
2.151	-0.27975
2.152	-0.09153
2.153	-0.14977
2.154	-0.02103
2.155	0.01349
2.156	-0.01723
2.157	-0.03189
2.158	0.18916
2.159	0.12077
2.160	0.08983
2.161	0.21365
2.162	-0.01348
2.163	0.08633
2.164	0.03630
2.165	0.01071
2.166	-0.00768
2.167	-0.30271
2.168	-0.34490
2.169	0.01316
2.170	0.01685
2.171	-0.02461
2.172	0.04028
2.173	0.10919
2.174	0.11500
2.175	0.16587
2.176	0.07094
2.177	0.06251
2.178	0.10391
2.179	0.21413
2.180	-0.03540
2.181	0.03493
2.182	-0.16082
2.183	-0.18070
2.184	-0.06407
2.185	0.13814
2.186	0.10347
2.187	0.03088
2.188	-0.08312
2.189	0.10724
2.190	0.13425
2.191	0.00572
2.192	-0.08278
2.193	0.02672
2.194	0.13556
2.195	0.05292
2.196	0.09417
2.197	0.10000
2.198	0.07050
2.199	0.00902
2.200	0.05539
2.201	0.09369
2.202	0.10588
2.203	0.04758
2.204	0.12220
2.205	0.02869
2.206	-0.10403
2.207	-0.06873
2.208	0.00106
2.209	0.04356
2.210	0.02491
2.211	0.09549
2.212	0.11542
2.213	0.04807
2.214	-0.04275
