FILENAME:	2jh015_6.txt
TITLE:	AFC Filter 05 ZnS Test Piece Sample 2JH @ 15K, 2.6°i, In f/8 (CDCR 04865/04871, SMCR 02016)
FORMAL_COMMENT:	Astronomical Filter Consortium Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	31-Jan-2002
AUTHOR:	Richard Sherwood
CHANNEL:	05
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.340	0.04058
2.341	0.06530
2.342	0.07394
2.343	-0.00627
2.344	0.05302
2.345	0.04134
2.346	0.04719
2.347	0.04974
2.348	-0.03301
2.349	0.07239
2.350	0.11856
2.351	-0.00808
2.352	0.03537
2.353	-0.00575
2.354	-0.01325
2.355	-0.04043
2.356	0.02741
2.357	0.04381
2.358	-0.07775
2.359	0.03997
2.360	0.12862
2.361	-0.12015
2.362	0.05004
2.363	0.13414
2.364	-0.02516
2.365	-0.13815
2.366	0.03084
2.367	-0.00938
2.368	-0.01902
2.369	-0.03295
2.370	-0.18203
2.371	-0.10308
2.372	0.06599
2.373	0.06476
2.374	0.07858
2.375	-0.11822
2.376	-0.00064
2.377	0.00642
2.378	0.07445
2.379	0.02402
2.380	-0.17886
2.381	-0.02634
2.382	0.08404
2.383	-0.07837
2.384	0.00548
2.385	0.07734
2.386	0.03758
2.387	0.15688
2.388	0.07448
2.389	-0.08725
2.390	0.11084
2.391	0.09135
2.392	0.12357
2.393	0.02544
2.394	0.04270
2.395	0.03409
2.396	0.05621
2.397	0.05042
2.398	-0.02546
2.399	0.06153
2.400	0.11332
2.401	-0.00529
2.402	0.03744
2.403	0.00315
2.404	0.04082
2.405	0.14366
2.406	0.10208
2.407	0.02776
2.408	-0.05161
2.409	-0.08267
2.410	0.03195
2.411	0.07602
2.412	-0.04913
2.413	0.08018
2.414	0.05279
2.415	0.20555
2.416	0.26335
2.417	0.13204
2.418	0.09464
2.419	-0.08833
2.420	-0.11542
2.421	-0.07764
2.422	-0.14781
2.423	-0.13857
2.424	-0.05912
2.425	0.02749
2.426	-0.00045
2.427	-0.02409
2.428	-0.09941
2.429	0.10966
2.430	0.09605
2.431	0.13173
2.432	0.14486
2.433	-0.00200
2.434	-0.08847
2.435	0.05536
2.436	-0.10357
2.437	0.12548
2.438	0.00596
2.439	0.05519
2.440	-0.11616
2.441	0.16549
2.442	0.08881
2.443	-0.02174
2.444	-0.05480
2.445	0.15143
2.446	0.20361
2.447	0.15459
2.448	0.09779
2.449	0.10573
2.450	0.01183
2.451	0.18499
2.452	0.31952
2.453	0.11204
2.454	0.10430
2.455	-0.00528
2.456	-0.02482
2.457	-0.03939
2.458	-0.18616
2.459	-0.01979
2.460	0.26824
2.461	0.49844
2.462	0.58129
2.463	0.24718
2.464	-0.11408
2.465	0.15520
2.466	0.16921
2.467	-0.01864
2.468	-0.06251
2.469	0.08265
2.470	0.18281
2.471	0.20229
2.472	0.51541
